sample	mCG	cov_CG	mCH	cov_CH	mCA	cov_CA	mCGlevel	mCHlevel	mCAlevel
L6IT_THEMIS_LINC00343-YM2	110041756	134623737	149106574	2661060812	105544704	1005480628	0.8174023277930548	0.05603275705974359	0.10496940573578112
L6IT_THEMIS_LINC00343-YM3	47720604	57735077	60906517	1161300735	42823798	438901248	0.8265443899901614	0.052446808276583066	0.09757046304867194
MGE_PVALB-AF1	402917175	470387862	432017102	9294594775	307088579	3514207886	0.8565637159234352	0.04648046660000839	0.08738486423167739
MGE_PVALB-AF2	332372382	387166739	397227253	7815405922	268566926	2943753144	0.8584734909266056	0.05082618317774435	0.09123282859073865
MGE_PVALB-AF3	521219079	606964140	669335659	11906510689	476118540	4491991343	0.8587312571711403	0.05621593735420532	0.10599275547179077
MGE_PVALB-AM1	360961605	420593211	470789940	8230073065	336259165	3096654931	0.8582202364650151	0.05720361608964646	0.10858787061928535
MGE_PVALB-AM2	179174184	204013516	257120234	4163748751	175076330	1599363232	0.878246635384687	0.061752101141608964	0.109466271636786
MGE_PVALB-AM3	397056387	461858932	495398885	9022716669	350062584	3392542333	0.8596919091303835	0.05490573440060218	0.10318591476217255
MGE_PVALB-YF1	485216394	565554638	595697638	11419876324	415575778	4309484644	0.8579478646234707	0.05216323023990045	0.09643282488048703
MGE_PVALB-YF2	318787831	372140624	390746118	7340710503	278532129	2773957236	0.8566327093598897	0.05323001334003159	0.10040966940126253
MGE_PVALB-YM1	208863113	241225003	292787409	4723353649	206969090	1777196313	0.865843550222694	0.061987187654684126	0.11645820356819522
MGE_PVALB-YM2	324269558	377718323	398436628	7453657124	284511676	2814373231	0.858495705012436	0.05345518600756071	0.1010923756899534
MGE_PVALB-YM3	380385761	441729608	452283586	8812570236	321240597	3328527228	0.8611280613999504	0.051322551070559205	0.09651133218850749
MGE_SST-AF1	500153392	582442733	619624751	11468744374	441188594	4339263854	0.8587168551727814	0.05402725274832253	0.10167360382874749
MGE_SST-AF2	273841539	317568419	352334176	6381296921	238459276	2411798245	0.8623072151264513	0.055213568708974356	0.09887198338184379
MGE_SST-AF3	407314179	474211391	533432764	9286013138	378737876	3503814431	0.858929554899705	0.05744475654649887	0.10809301789761365
MGE_SST-AM1	176886804	205305350	284662490	3990424255	202592419	1502152247	0.8615791259214628	0.07133639728741073	0.13486809969136238
MGE_SST-AM2	57636366	65553875	93304806	1327879648	64304964	508229107	0.8792213427505239	0.07026601103536154	0.12652751114469327
MGE_SST-AM3	239026580	277875459	323757115	5441764237	226055477	2051448542	0.860193198997109	0.05949488086945947	0.11019310129983265
MGE_SST-YF1	765303488	894071381	917283642	17823019926	638724878	6720625231	0.8559758250443317	0.051466229954772034	0.09503950243405561
MGE_SST-YF2	538139865	628204827	663486702	12380017116	470411358	4677155145	0.8566312162386489	0.05359335902229943	0.10057638530611539
MGE_SST-YM1	352943029	408598115	524309396	7957502945	368461221	2993633624	0.8637901547832643	0.06588868387782922	0.12308160158479033
MGE_SST-YM2	663500652	775316136	754848642	15270143824	533760775	5759940757	0.8557807856587677	0.04943297526861591	0.09266775432565443
MGE_SST-YM3	830202427	967318105	990377002	19190476749	699804978	7244567970	0.8582517195829804	0.05160773309353076	0.0965971995704804
MGE_SST_CLMP-AF1	158443043	181923883	276066713	3596142544	196882264	1359679509	0.8709304154419352	0.0767674555783682	0.14480049356984168
MGE_SST_CLMP-AF2	105553378	121577498	196653965	2435091589	136647216	915611967	0.8681983075519452	0.08075834432197203	0.14924140457417154
MGE_SST_CLMP-AF3	93423565	107853539	174395806	2112835073	123584811	796801991	0.8662076911542049	0.08254113547650295	0.15510103186978608
MGE_SST_CLMP-AM1	239071578	275215712	477160517	5397064460	339596153	2029917418	0.8686698018171288	0.08841112062611904	0.1672955510350717
MGE_SST_CLMP-AM2	62408727	71428401	122460690	1396422792	85464491	527607772	0.8737242627060908	0.08769599773189608	0.1619848977508997
MGE_SST_CLMP-AM3	56640644	65304339	108019913	1270389381	75567802	476083604	0.8673335473160521	0.08502897978804815	0.15872800778075105
MGE_SST_CLMP-YF1	73495809	84829240	119016957	1733927235	82470577	653641125	0.8663971173147372	0.06864011049460216	0.1261710346025122
MGE_SST_CLMP-YF2	114345691	132086775	205888298	2616493920	146091779	987647127	0.8656861445818478	0.0786886208396005	0.14791900366657978
MGE_SST_CLMP-YM1	40143717	46088530	78297502	904363659	55186558	340471172	0.8710131783330907	0.08657745279877506	0.1620887832465299
MGE_SST_CLMP-YM2	60671776	70103928	107881194	1379252292	76797328	520140516	0.865454728870542	0.07821715767719746	0.14764727153075688
MGE_SST_CLMP-YM3	51110042	58936555	86453218	1170031026	61428079	441459288	0.8672044370425113	0.07388967991349658	0.13914777799396985
Glia_Astro-AF1	64737329	79244033	27912939	1546451462	18491915	583972173	0.8169363237734253	0.018049670284446342	0.03166574685400292
Glia_Astro-AF2	4500203	5444994	2819530	112230341	1807269	42585493	0.8264844736284375	0.02512270723653954	0.04243860696880978
Glia_Astro-AF3	56187780	68738777	21469932	1357617719	14080410	513943611	0.8174102370194919	0.01581441645871742	0.0273967993737741
Glia_Astro-AM1	41650095	50883760	19671798	990689993	13315911	373640222	0.8185341452754278	0.01985666367783731	0.035638323220994125
Glia_Astro-AM2	551858842	669004322	297607196	13170395208	195382826	4997451848	0.8248957799707608	0.02259667924157861	0.039096489959816814
Glia_Astro-AM3	41973733	51083884	19105942	1007223971	12697569	379811023	0.8216629142764478	0.018968911136051585	0.033431280903082165
Glia_Astro-YF1	24517124	29576086	12853397	591087099	8465119	223225319	0.8289509301535031	0.02174535194854591	0.03792185867589688
Glia_Astro-YF2	64837286	78936424	28066240	1568291056	18252313	592994447	0.8213861575487635	0.017896065843533066	0.030779905431390996
Glia_Astro-YM1	10231946	12327857	5964199	244180441	3914175	92076808	0.8299857793613278	0.024425375658978354	0.042509890221216186
Glia_Astro-YM2	132362254	161210272	66523586	3211300086	43847745	1212277415	0.8210534748058734	0.020715468569884377	0.03616972852703026
Glia_Astro-YM3	51931677	63174434	25271809	1248849673	16810690	471708323	0.8220362844881206	0.02023606967785946	0.03563789142639317
Glia_Oligo-AF1	245953586	305439020	75506063	5957096945	46446154	2250854134	0.8052461208132478	0.012674976368040288	0.020634901790575116
